store_id,location,store_type,open_date
1,Port Jacquelinehaven,Urban,2020-10-11 22:57:03.969162
2,New Brittanymouth,Rural,2019-03-14 22:57:03.969162
3,Williamview,Suburban,2023-10-21 22:57:03.969162
4,Snyderfurt,Urban,2024-04-13 22:57:03.969162
5,Margaretshire,Rural,2020-06-21 22:57:03.969162
6,South Christina,Rural,2019-02-25 22:57:03.969162
7,South David,Suburban,2018-10-28 22:57:03.969162
8,Jacquelineburgh,Suburban,2022-06-18 22:57:03.969162
9,Johntown,Rural,2022-02-22 22:57:03.969162
10,North Jackmouth,Urban,2023-06-24 22:57:03.969162
11,Lynnland,Urban,2022-09-08 22:57:03.969162
12,East Ianborough,Urban,2023-08-30 22:57:03.969162
13,Jenniferberg,Rural,2022-10-03 22:57:03.969162
14,Lake Zacharyberg,Rural,2023-01-28 22:57:03.969162
15,Donnafurt,Rural,2023-07-25 22:57:03.969162
16,North Lynnton,Suburban,2021-08-14 22:57:03.969162
17,Wardtown,Suburban,2021-10-04 22:57:03.969162
18,Darrenview,Urban,2023-12-29 22:57:03.969162
19,New Stephanieview,Rural,2019-02-15 22:57:03.969162
20,Port Adrienneborough,Suburban,2018-06-30 22:57:03.969162
21,Anthonyville,Urban,2021-07-27 22:57:03.969162
22,Bakerberg,Suburban,2024-09-11 22:57:03.969162
23,Lake Zoechester,Urban,2022-04-14 22:57:03.969162
24,North Chad,Suburban,2025-02-07 22:57:03.969162
25,Teresatown,Suburban,2018-06-05 22:57:03.969162
26,Marktown,Rural,2020-03-26 22:57:03.969162
27,Michaelhaven,Urban,2021-02-02 22:57:03.969162
28,Combsshire,Rural,2024-07-31 22:57:03.969162
29,Ryanbury,Suburban,2019-02-02 22:57:03.969162
30,New Randallberg,Rural,2023-09-10 22:57:03.969162
31,West Joseph,Suburban,2018-07-09 22:57:03.969162
32,South Randyfurt,Urban,2023-06-04 22:57:03.969162
33,North Kristin,Urban,2020-06-20 22:57:03.969162
34,Torreston,Suburban,2022-11-23 22:57:03.969162
35,West Wendy,Rural,2018-12-05 22:57:03.969162
36,Samuelland,Urban,2019-12-30 22:57:03.969162
37,North Jasmine,Urban,2022-09-27 22:57:03.969162
38,North Susan,Rural,2023-07-19 22:57:03.969162
39,Heatherfurt,Urban,2018-08-17 22:57:03.969162
40,Dickersonview,Suburban,2024-09-26 22:57:03.969162
41,East Shanemouth,Suburban,2024-04-10 22:57:03.969162
42,Williammouth,Rural,2018-07-16 22:57:03.969162
43,Annafort,Suburban,2025-02-13 22:57:03.969162
44,East Alexanderberg,Rural,2020-09-29 22:57:03.969162
45,Josephmouth,Urban,2025-05-20 22:57:03.969162
46,South Andrew,Rural,2023-04-29 22:57:03.969162
47,Port Christine,Urban,2019-06-16 22:57:03.969162
48,Lake Christopherfort,Rural,2023-11-19 22:57:03.969162
49,South Steven,Suburban,2022-10-04 22:57:03.969162
50,West Tiffanyberg,Urban,2020-12-29 22:57:03.969162
51,Matthewland,Urban,2017-09-02 22:57:03.969162
52,Tonyaport,Urban,2025-06-08 22:57:03.969162
53,Dylanton,Rural,2025-07-31 22:57:03.969162
54,Lyonsland,Suburban,2022-10-07 22:57:03.969162
55,Benjamintown,Suburban,2022-09-21 22:57:03.969162
56,Tranburgh,Suburban,2022-10-14 22:57:03.969162
57,Rossstad,Urban,2020-07-15 22:57:03.969162
58,Floresberg,Rural,2019-10-01 22:57:03.969162
59,Jenkinsburgh,Urban,2022-05-07 22:57:03.969162
60,Brooksberg,Rural,2024-08-01 22:57:03.969162
61,Halechester,Rural,2018-02-20 22:57:03.969162
62,New Robert,Suburban,2021-02-12 22:57:03.969162
63,East Jacobville,Suburban,2025-05-27 22:57:03.969162
64,Willieville,Suburban,2019-09-27 22:57:03.969162
65,New Karen,Urban,2021-04-27 22:57:03.969162
66,New Michaelhaven,Suburban,2024-07-05 22:57:03.969162
67,Smithberg,Suburban,2020-12-17 22:57:03.969162
68,New Maria,Rural,2024-12-17 22:57:03.969162
69,Port Monique,Urban,2019-02-20 22:57:03.969162
70,Singhville,Suburban,2020-07-15 22:57:03.969162
71,Brianborough,Urban,2019-09-01 22:57:03.969162
72,North Christy,Urban,2024-07-14 22:57:03.969162
73,Lake Tamarashire,Rural,2024-08-03 22:57:03.969162
74,West Brenda,Rural,2017-10-06 22:57:03.969162
75,New Johnside,Suburban,2025-02-10 22:57:03.969162
76,Lake Glenn,Rural,2021-09-06 22:57:03.969162
77,Ryanfurt,Rural,2023-01-17 22:57:03.969162
78,Lake Jessica,Rural,2017-09-09 22:57:03.969162
79,Amberside,Rural,2020-10-20 22:57:03.969162
80,West Karenmouth,Rural,2018-05-14 22:57:03.969162
81,Kimberlyshire,Rural,2025-05-01 22:57:03.969162
82,New Amy,Rural,2021-01-05 22:57:03.969162
83,Port Robertville,Urban,2023-10-09 22:57:03.969162
84,Jessicaview,Urban,2018-08-06 22:57:03.969162
85,Elliston,Suburban,2023-04-11 22:57:03.969162
86,Wallaceside,Urban,2020-10-30 22:57:03.969162
87,East Gina,Urban,2021-04-23 22:57:03.969162
88,Andrewburgh,Suburban,2024-11-12 22:57:03.969162
89,New Laura,Urban,2024-06-30 22:57:03.969162
90,Wallacehaven,Urban,2023-05-24 22:57:03.969162
91,West Tylerberg,Suburban,2022-05-31 22:57:03.969162
92,South Deborahchester,Urban,2021-09-04 22:57:03.969162
93,Kristinside,Urban,2021-12-11 22:57:03.969162
94,Lake Brandonfort,Rural,2021-11-30 22:57:03.969162
95,West John,Rural,2017-11-15 22:57:03.969162
96,Danielberg,Rural,2021-02-10 22:57:03.969162
97,New Philip,Suburban,2025-01-12 22:57:03.969162
98,West Sharon,Rural,2022-02-04 22:57:03.969162
99,East Josephville,Rural,2018-04-04 22:57:03.969162
100,Harrisonfort,Suburban,2022-03-18 22:57:03.969162
